날짜,발전기명,설비용량(MW),발전량(MWh)
2023.1.3,경상대태양광,0.905,3.373776
2023.1.4,경상대태양광,0.905,2.978712
2023.1.5,경상대태양광,0.905,2.178504
2023.1.6,경상대태양광,0.905,2.775384
2023.1.7,경상대태양광,0.905,2.472624
2023.1.8,경상대태양광,0.905,3.13632
2023.1.9,경상대태양광,0.905,2.238192
2023.1.10,경상대태양광,0.905,3.148272
2023.1.11,경상대태양광,0.905,2.990376
2023.1.12,경상대태양광,0.905,2.809584
2023.1.13,경상대태양광,0.905,1.20096
2023.1.14,경상대태양광,0.905,0.1458
2023.1.15,경상대태양광,0.905,0.4536
2023.1.16,경상대태양광,0.905,3.714984
2023.1.17,경상대태양광,0.905,3.46464
2023.1.18,경상대태양광,0.905,2.70576
2023.1.19,경상대태양광,0.905,3.434688
2023.1.20,경상대태양광,0.905,3.435048
2023.1.21,경상대태양광,0.905,3.773592
2023.1.22,경상대태양광,0.905,0.964872
2023.1.23,경상대태양광,0.905,3.243168
2023.1.24,경상대태양광,0.905,4.119768
2023.1.25,경상대태양광,0.905,3.975552
2023.1.26,경상대태양광,0.905,1.605744
2023.1.27,경상대태양광,0.905,3.932568
2023.1.28,경상대태양광,0.905,3.694032
2023.1.29,경상대태양광,0.905,3.687768
2023.1.30,경상대태양광,0.905,3.932352
2023.1.31,경상대태양광,0.905,3.807072
2023.2.1,경상대태양광,0.905,3.10284
2023.2.2,경상대태양광,0.905,3.023784
2023.2.3,경상대태양광,0.905,2.897712
2023.2.4,경상대태양광,0.905,3.589416
2023.2.5,경상대태양광,0.905,3.982824
2023.2.6,경상대태양광,0.905,2.5362
2023.2.7,경상대태양광,0.905,3.480192
2023.2.8,경상대태양광,0.905,3.819672
2023.2.9,경상대태양광,0.905,2.545704
2023.2.10,경상대태양광,0.905,2.704824
2023.2.11,경상대태양광,0.905,1.899
2023.2.12,경상대태양광,0.905,1.453824
2023.2.13,경상대태양광,0.905,1.07964
2023.2.14,경상대태양광,0.905,3.724992
2023.2.15,경상대태양광,0.905,1.640304
2023.2.16,경상대태양광,0.905,2.209392
2023.2.17,경상대태양광,0.905,1.242
2023.2.18,경상대태양광,0.905,0.499248
2023.2.19,경상대태양광,0.905,4.019688
2023.2.20,경상대태양광,0.905,4.34988
2023.2.21,경상대태양광,0.905,4.595904
2023.2.22,경상대태양광,0.905,4.004424
2023.2.23,경상대태양광,0.905,4.174416
2023.2.24,경상대태양광,0.905,3.999816
2023.2.25,경상대태양광,0.905,4.658832
2023.2.26,경상대태양광,0.905,4.59468
2023.2.27,경상대태양광,0.905,4.607064
2023.2.28,경상대태양광,0.905,4.593528
2023.3.1,경상대태양광,0.905,2.007144
2023.3.2,경상대태양광,0.905,4.743792
2023.3.3,경상대태양광,0.905,4.538592
2023.3.4,경상대태양광,0.905,3.484008
2023.3.5,경상대태양광,0.905,3.954528
2023.3.6,경상대태양광,0.905,4.266216
2023.3.7,경상대태양광,0.905,3.669552
2023.3.8,경상대태양광,0.905,3.696264
2023.3.9,경상대태양광,0.905,3.163536
2023.3.10,경상대태양광,0.905,4.009032
2023.3.11,경상대태양광,0.905,3.386088
2023.3.12,경상대태양광,0.905,1.294056
2023.3.13,경상대태양광,0.905,0
2023.3.14,경상대태양광,0.905,0
2023.3.15,경상대태양광,0.905,0.228672
2023.3.16,경상대태양광,0.905,4.465656
2023.3.17,경상대태양광,0.905,2.189088
2023.3.18,경상대태양광,0.905,3.60396
2023.3.19,경상대태양광,0.905,4.64328
2023.3.20,경상대태양광,0.905,4.511952
2023.3.21,경상대태양광,0.905,3.616416
2023.3.22,경상대태양광,0.905,1.110816
2023.3.23,경상대태양광,0.905,0.760176
2023.3.24,경상대태양광,0.905,0.345312
2023.3.25,경상대태양광,0.905,1.742832
2023.3.26,경상대태양광,0.905,4.151232
2023.3.27,경상대태양광,0.905,5.1408
2023.3.28,경상대태양광,0.905,4.776336
2023.3.29,경상대태양광,0.905,4.608
2023.3.30,경상대태양광,0.905,3.389832
2023.3.31,경상대태양광,0.905,4.715496
2023.4.1,경상대태양광,0.905,4.367664
2023.4.2,경상대태양광,0.905,4.863816
2023.4.3,경상대태양광,0.905,4.770288
2023.4.4,경상대태양광,0.905,2.46708
2023.4.5,경상대태양광,0.905,0.388872
2023.4.6,경상대태양광,0.905,1.669608
2023.4.7,경상대태양광,0.905,4.18032
2023.4.8,경상대태양광,0.905,0
2023.4.9,경상대태양광,0.905,0
2023.4.10,경상대태양광,0.905,3.702456
2023.4.11,경상대태양광,0.905,2.277
2023.4.12,경상대태양광,0.905,5.060592
2023.4.13,경상대태양광,0.905,4.773888
2023.4.14,경상대태양광,0.905,1.301832
2023.4.15,경상대태양광,0.905,0
2023.4.16,경상대태양광,0.905,0
2023.4.17,경상대태양광,0.905,3.163896
2023.4.18,경상대태양광,0.905,0.803592
2023.4.19,경상대태양광,0.905,0.697248
2023.4.20,경상대태양광,0.905,4.3956
2023.4.21,경상대태양광,0.905,3.162816
2023.4.22,경상대태양광,0.905,0
2023.4.23,경상대태양광,0.905,0
2023.4.24,경상대태양광,0.905,1.101888
2023.4.25,경상대태양광,0.905,0.636336
2023.4.26,경상대태양광,0.905,4.850424
2023.4.27,경상대태양광,0.905,5.186304
2023.4.28,경상대태양광,0.905,4.460184
2023.4.29,경상대태양광,0.905,0
2023.4.30,경상대태양광,0.905,0
2023.5.1,경상대태양광,0.905,0
2023.5.2,경상대태양광,0.905,3.64032
2023.5.3,경상대태양광,0.905,2.761632
2023.5.4,경상대태양광,0.905,0.51876
2023.5.5,경상대태양광,0.905,0
2023.5.6,경상대태양광,0.905,0
2023.5.7,경상대태양광,0.905,0
2023.5.8,경상대태양광,0.905,0
