발전기명,변수,중요도,누적 중요도,R²,순위
서울태양광,일조시간,0.6500016033493184,0.6500016033493184,0.8335,1
서울태양광,일사량,0.1917224598050442,0.8417240631543627,0.8335,2
서울태양광,총강수량,0.052574694659034506,0.8942987578133972,0.8335,3
서울태양광,평균습도,0.03933813775726456,0.9336368955706618,0.8335,4
서울태양광,평균기온,0.025418652919610957,0.9590555484902727,0.8335,5
서울태양광,평균운량,0.020786256758661782,0.9798418052489345,0.8335,6
서울태양광,평균풍속,0.019140924111107505,0.998982729360042,0.8335,7
서울태양광,총적설량,0.0010172706399580777,1.0,0.8335,8
서울태양광,설비용량(MW),0.0,1.0,0.8335,9
서천태양광,일사량,0.8480754500485973,0.8480754500485973,0.8487,1
서천태양광,평균기온,0.03453025945305566,0.882605709501653,0.8487,2
서천태양광,일조시간,0.03202263675526725,0.9146283462569202,0.8487,3
서천태양광,평균습도,0.02767463554744521,0.9423029818043654,0.8487,4
서천태양광,평균풍속,0.023360477602355125,0.9656634594067206,0.8487,5
서천태양광,총강수량,0.018318641764800414,0.9839821011715211,0.8487,6
서천태양광,평균운량,0.013501695709958616,0.9974837968814797,0.8487,7
서천태양광,총적설량,0.0025162031185204086,1.0,0.8487,8
서천태양광,설비용량(MW),0.0,1.0,0.8487,9
세종태양광,일사량,0.7971747401123782,0.7971747401123782,0.8519,1
세종태양광,일조시간,0.09774757929413598,0.8949223194065142,0.8519,2
세종태양광,평균습도,0.055419010560243356,0.9503413299667576,0.8519,3
세종태양광,평균기온,0.016099964442956822,0.9664412944097144,0.8519,4
세종태양광,평균풍속,0.012170959848707525,0.9786122542584219,0.8519,5
세종태양광,총강수량,0.010971474039072884,0.9895837282974947,0.8519,6
세종태양광,평균운량,0.010165026659250316,0.9997487549567451,0.8519,7
세종태양광,총적설량,0.0002512450432548746,1.0,0.8519,8
세종태양광,설비용량(MW),0.0,1.0,0.8519,9
신보령태양광,일사량,0.4875830433879122,0.4875830433879122,0.8371,1
신보령태양광,일조시간,0.36978994435226764,0.8573729877401799,0.8371,2
신보령태양광,평균습도,0.0559343637110774,0.9133073514512573,0.8371,3
신보령태양광,평균풍속,0.025562533736725575,0.9388698851879829,0.8371,4
신보령태양광,평균기온,0.02484620366010168,0.9637160888480846,0.8371,5
신보령태양광,평균운량,0.018083628920376862,0.9817997177684614,0.8371,6
신보령태양광,총강수량,0.01520367569835105,0.9970033934668124,0.8371,7
신보령태양광,총적설량,0.0029966065331875607,1.0,0.8371,8
신보령태양광,설비용량(MW),0.0,1.0,0.8371,9
여수엑스포태양광,일조시간,0.7648112214452721,0.7648112214452721,0.9132,1
여수엑스포태양광,일사량,0.07142632722553406,0.8362375486708062,0.9132,2
여수엑스포태양광,평균습도,0.04646491941901579,0.882702468089822,0.9132,3
여수엑스포태양광,총강수량,0.04065930235382353,0.9233617704436455,0.9132,4
여수엑스포태양광,평균기온,0.03650197023426939,0.9598637406779149,0.9132,5
여수엑스포태양광,평균풍속,0.02383819001689287,0.9837019306948078,0.9132,6
여수엑스포태양광,평균운량,0.01622047507634802,0.9999224057711559,0.9132,7
여수엑스포태양광,총적설량,7.759422884431522e-05,1.0000000000000002,0.9132,8
여수엑스포태양광,설비용량(MW),0.0,1.0000000000000002,0.9132,9
영흥태양광,일조시간,0.6799951238894854,0.6799951238894854,0.7046,1
영흥태양광,일사량,0.117450022970346,0.7974451468598314,0.7046,2
영흥태양광,평균기온,0.05695467171321067,0.854399818573042,0.7046,3
영흥태양광,평균습도,0.050706599509322964,0.905106418082365,0.7046,4
영흥태양광,평균풍속,0.03911762205059176,0.9442240401329568,0.7046,5
영흥태양광,평균운량,0.032315819187199626,0.9765398593201564,0.7046,6
영흥태양광,총강수량,0.021498548785808716,0.9980384081059651,0.7046,7
영흥태양광,총적설량,0.0019615918940349645,1.0,0.7046,8
영흥태양광,설비용량(MW),0.0,1.0,0.7046,9
예천태양광,일조시간,0.62314589252522,0.62314589252522,0.7358,1
예천태양광,평균습도,0.14431307421349238,0.7674589667387124,0.7358,2
예천태양광,일사량,0.0724734992022328,0.8399324659409452,0.7358,3
예천태양광,평균풍속,0.054576255100061866,0.894508721041007,0.7358,4
예천태양광,평균기온,0.04111360917832038,0.9356223302193274,0.7358,5
예천태양광,평균운량,0.03716380111790662,0.972786131337234,0.7358,6
예천태양광,총강수량,0.02642353344088458,0.9992096647781186,0.7358,7
예천태양광,총적설량,0.000790335221881419,1.0,0.7358,8
예천태양광,설비용량(MW),0.0,1.0,0.7358,9
울산태양광#1,일사량,0.4438290965237983,0.4438290965237983,0.8082,1
울산태양광#1,일조시간,0.42705116619992467,0.870880262723723,0.8082,2
울산태양광#1,평균습도,0.03483970165701234,0.9057199643807353,0.8082,3
울산태양광#1,평균기온,0.03203389390710745,0.9377538582878427,0.8082,4
울산태양광#1,총강수량,0.022866740207654834,0.9606205984954976,0.8082,5
울산태양광#1,평균풍속,0.02089166367901637,0.981512262174514,0.8082,6
울산태양광#1,평균운량,0.018173984396207415,0.9996862465707215,0.8082,7
울산태양광#1,총적설량,0.00031375342927854056,1.0,0.8082,8
울산태양광#1,설비용량(MW),0.0,1.0,0.8082,9
인천아시아드태양광,일조시간,0.577677229215933,0.577677229215933,0.7166,1
인천아시아드태양광,일사량,0.17891326752146616,0.7565904967373992,0.7166,2
인천아시아드태양광,평균습도,0.10004408818680055,0.8566345849241997,0.7166,3
인천아시아드태양광,평균기온,0.05542277742368287,0.9120573623478826,0.7166,4
인천아시아드태양광,평균풍속,0.03551125825751801,0.9475686206054006,0.7166,5
인천아시아드태양광,평균운량,0.0336763625039572,0.9812449831093578,0.7166,6
인천아시아드태양광,총강수량,0.016219281721628877,0.9974642648309867,0.7166,7
인천아시아드태양광,설비용량(MW),0.0022417581687753266,0.9997060229997621,0.7166,8
인천아시아드태양광,총적설량,0.0002939770002380729,1.0000000000000002,0.7166,9
