발전기명,날짜,일사량(MJ/m²),기온(°C),습도(%)
제주대태양광,2025-11-12 00:00:00,0.0,9.6,60.6
제주대태양광,2025-11-12 03:00:00,0.0,10.1,66.5
제주대태양광,2025-11-12 06:00:00,0.0,10.9,85.1
제주성읍리태양광,2025-11-11 09:00:00,0.90828,10.5,59.3
제주성읍리태양광,2025-11-11 12:00:00,5.3956800000000005,13.3,51.8
제주성읍리태양광,2025-11-11 15:00:00,5.9886,13.4,58.0
제주성읍리태양광,2025-11-11 18:00:00,1.5606,10.8,57.5
제주성읍리태양광,2025-11-11 21:00:00,0.0,10.3,49.4
제주성읍리태양광,2025-11-12 00:00:00,0.0,10.7,62.8
제주성읍리태양광,2025-11-12 03:00:00,0.0,10.9,70.1
제주성읍리태양광,2025-11-12 06:00:00,0.0,11.9,84.0
제주태양광,2025-11-11 09:00:00,0.8316,12.6,62.5
제주태양광,2025-11-11 12:00:00,5.16132,13.2,62.1
제주태양광,2025-11-11 15:00:00,5.7888,14.2,57.8
제주태양광,2025-11-11 18:00:00,1.5541200000000002,14.9,52.2
제주태양광,2025-11-11 21:00:00,0.0,15.5,56.2
제주태양광,2025-11-12 00:00:00,0.0,16.2,59.0
제주태양광,2025-11-12 03:00:00,0.0,16.6,62.7
제주태양광,2025-11-12 06:00:00,0.0,16.8,74.6
